date,gross_return,transaction_cost,net_return,turnover,long_contribution,short_contribution,long_exposure,short_exposure,gross_exposure,cumulative_gross,cumulative_net,drawdown
2022-10-03,-0.001422492987248456,0.0,-0.001422492987248456,0.0,0.009075198216888535,-0.010497691204136992,0.5,-0.5,1.0,-0.17288847141866714,-0.19383879973583384,-0.20510602462909877
2022-10-04,-0.0032117354463146253,0.0,-0.0032117354463146253,0.0,0.007706442519769755,-0.010918177966084379,0.5,-0.5,1.0,-0.1755449348330672,-0.19642797623816577,-0.20765901378585938
2022-10-05,0.0020352143426058487,0.0,0.0020352143426058487,0.0,0.007187132143782998,-0.0051519178011771504,0.5,-0.5,1.0,-0.17386699205960543,-0.19479253493008886,-0.20604643004648193
2022-10-06,0.0006913820451028101,0.0,0.0006913820451028101,0.0,-0.0018485205499188583,0.002539902595021669,0.5,-0.5,1.0,-0.17329581853104858,-0.19423582894615676,-0.20549750480357076
2022-10-07,0.0003874614227508008,0.0,0.0003874614227508008,0.0,-0.009083311494615078,0.00947077291736588,0.5,-0.5,1.0,-0.17297550255270255,-0.1939236264140386,-0.20518966573640285
2022-10-10,0.0005563545584505989,0.0005121951219512195,4.415943649937939e-05,1.024390243902439,-0.006867711366281046,0.007424065924731645,0.5,-0.5,1.0,-0.17251538370359742,-0.19388803053560566,-0.205154567359918
2022-10-11,-0.0022739351089098845,0.0,-0.0022739351089098845,0.0,-0.002158153365680539,-0.0001157817432293456,0.5,-0.5,1.0,-0.17439703002467655,-0.1957210768446832,-0.2069619942953549
2022-10-12,0.002713787356225219,0.0,0.002713787356225219,0.0,0.0014852990921586583,0.0012284882640665607,0.5,-0.5,1.0,-0.1721565191234955,-0.19353843487214584,-0.20480985778246752
2022-10-13,0.0008202742159596831,0.0,0.0008202742159596831,0.0,0.024286125737768408,-0.023465851521808724,0.5,-0.5,1.0,-0.1714774604612821,-0.19287691524410888,-0.2041575838120211
2022-10-14,-0.005074271799317937,0.0,-0.005074271799317937,0.0,-0.022512409678442875,0.01743813787912494,0.5,-0.5,1.0,-0.17568160901876273,-0.19697247715166422,-0.20819590454118486
2022-10-17,-0.0030392786977557302,0.0,-0.0030392786977557302,0.0,0.0029009054673952285,-0.005940184165150958,0.5,-0.5,1.0,-0.17818694234464028,-0.1994131015955688,-0.21060241786130862
2022-10-18,0.004588230351156335,0.0,0.004588230351156335,0.0,-0.0013065378035871027,0.005894768154743438,0.5,-0.5,1.0,-0.17441627473052934,-0.1957398244895714,-0.20698047991581037
2022-10-19,0.0048322002751500295,0.0,0.0048322002751500295,0.0,-0.0038579858044177715,0.0086901860795678,0.5,-0.5,1.0,-0.1704268888261229,-0.19185347824817778,-0.2031484507726603
2022-10-20,0.007886225326440174,0.0,0.007886225326440174,0.0,0.001910304317568242,0.005975921008871931,0.5,-0.5,1.0,-0.1638846883466496,-0.185480252680864,-0.19686429990373056
2022-10-21,0.0028132520860454434,0.0,0.0028132520860454434,0.0,0.007012446469463972,-0.0041991943834185285,0.5,-0.5,1.0,-0.16153248520196617,-0.18318880330259313,-0.1946048767200571
2022-10-24,0.002017455613505305,0.0,0.002017455613505305,0.0,0.0005502852069016963,0.001467170406603609,0.5,-0.5,1.0,-0.15984091420749502,-0.181540922968642,-0.19298002780750623
2022-10-25,-0.004755591556850812,0.0,-0.004755591556850812,0.0,0.013960112173886572,-0.018715703730737387,0.5,-0.5,1.0,-0.16383636766230136,-0.1854331800450002,-0.19681788517347476
2022-10-26,-0.0013060221673200226,0.0,-0.0013060221673200226,0.0,-0.000639382315033808,-0.0006666398522862147,0.5,-0.5,1.0,-0.1649284159016412,-0.18649702236862475,-0.19786685881983312
2022-10-27,0.0016699181656501059,0.0,0.0016699181656501059,0.0,-0.003312804923517447,0.004982723089167552,0.5,-0.5,1.0,-0.16353391469373713,-0.18513853896846766,-0.19652736211610633
2022-10-28,-0.0046638350352706595,0.0,-0.0046638350352706595,0.0,0.006492215007943457,-0.011156050043214117,0.5,-0.5,1.0,-0.16743505452820417,-0.18893891839931842,-0.2002746259545507
2022-10-31,0.007558164583620484,0.0,0.007558164583620484,0.0,0.007269419338082431,0.00028874524553805297,0.5,-0.5,1.0,-0.1611423916437753,-0.18280878525721123,-0.19423016995581766
2022-11-01,0.0016761279579754272,0.0,0.0016761279579754272,0.0,-0.005737274240518836,0.007413402198494264,0.5,-0.5,1.0,-0.15973635895364913,-0.18143906821516897,-0.19287959661598753
2022-11-02,-0.008691261852282585,0.0,-0.008691261852282585,0.0,-0.023429414401541532,0.014738152549258947,0.5,-0.5,1.0,-0.1670393102829354,-0.18855339561535944,-0.1998944913881181
2022-11-03,0.00029603897855782135,0.0,0.00029603897855782135,0.0,0.0037350672695641825,-0.0034390282910063616,0.5,-0.5,1.0,-0.16679272145117274,-0.18831317579144324,-0.19965762897061012
2022-11-04,-0.010912795165184282,0.0,-0.010912795165184282,0.0,-0.008716951104148999,-0.0021958440610352846,0.5,-0.5,1.0,-0.1758853418121168,-0.19717094784231015,-0.20839160132767176
2022-11-07,-0.003273358810854767,0.000475609756097561,-0.003748968566952328,0.951219512195122,-0.0003087861867141959,-0.002964572624140572,0.5,-0.5,1.0,-0.17858296478965063,-0.20018072872348547,-0.21135931633162985
2022-11-08,-0.004454019820676976,0.0,-0.004454019820676976,0.0,-0.006207180771435906,0.001753160950758931,0.5,-0.5,1.0,-0.1822415725455192,-0.20374313961071044,-0.21487193756808098
2022-11-09,-0.002880222827082393,0.0,-0.002880222827082393,0.0,-0.012391447067607714,0.00951122424052532,0.5,-0.5,1.0,-0.18459689903531262,-0.2060365367962247,-0.21713328133568044
2022-11-10,-0.013234985481125104,0.0,-0.013234985481125104,0.0,0.003931911330445137,-0.01716689681157024,0.5,-0.5,1.0,-0.1953887472378446,-0.21654463170427052,-0.2274945109908587
2022-11-11,-0.007802059640615937,0.0,-0.007802059640615937,0.0,0.005072364897293007,-0.012874424537908942,0.5,-0.5,1.0,-0.20166637221940564,-0.22265719721347454,-0.23352164488881133
2022-11-14,0.007926589759459712,0.0,0.007926589759459712,0.0,-0.0015148195865034195,0.009441409345963131,0.5,-0.5,1.0,-0.19533830906080762,-0.21649551971331704,-0.22744608540833933
2022-11-15,0.0018757459107100892,0.0,0.0018757459107100892,0.0,-0.002900236849748528,0.004775982760458618,0.5,-0.5,1.0,-0.19382896818452333,-0.21502586438839622,-0.22599697056224088
2022-11-16,0.004670114200239417,0.0,0.004670114200239417,0.0,-0.0046645167735841825,0.0093346309738236,0.5,-0.5,1.0,-0.19006405740102017,-0.2113599455308558,-0.2223822880234353
2022-11-17,0.0015356301006989406,0.0,0.0015356301006989406,0.0,0.004212206122033617,-0.002676576021334676,0.5,-0.5,1.0,-0.1888202953879271,-0.21014888612459603,-0.2211881548580873
2022-11-18,0.0019973188217309694,0.0,0.0019973188217309694,0.0,-0.004913537970868846,0.0069108567925998165,0.5,-0.5,1.0,-0.18720011089609923,-0.20857130162848747,-0.21963261930119826
2022-11-21,0.0020945245196800997,0.0,0.0020945245196800997,0.0,-0.0016420592502129337,0.0037365837698930334,0.5,-0.5,1.0,-0.18549768159877777,-0.2069136348141698,-0.2179981206879661
2022-11-22,-0.0031378413334403566,0.0,-0.0031378413334403566,0.0,0.0006215351141052034,-0.0037593764475455605,0.5,-0.5,1.0,-0.18805346063964012,-0.20940221399183778,-0.2204519185076993
2022-11-23,0.00032627327956633815,0.0,0.00032627327956633815,0.0,0.002013137621398982,-0.001686864341832644,0.5,-0.5,1.0,-0.1877885441794105,-0.20914426305937894,-0.2201975727985711
2022-11-25,-0.0014490271743226547,0.0,-0.0014490271743226547,0.0,0.0005971173762289242,-0.0020461445505515793,0.5,-0.5,1.0,-0.1889654606501906,-0.21029023451317486,-0.2213275277061888
2022-11-28,0.004134276391825573,0.0,0.004134276391825573,0.0,-0.003038090267439556,0.007172366659265128,0.5,-0.5,1.0,-0.18561241970120157,-0.20702535607332861,-0.21810828048702002
2022-11-29,0.0047027314830093815,0.0,0.0047027314830093815,0.0,0.006598753371957621,-0.00189602188894824,0.5,-0.5,1.0,-0.18178257358795846,-0.20329620925010639,-0.21443125368136184
2022-11-30,-0.005482441590973519,0.0,-0.005482441590973519,0.0,0.011570129235790209,-0.017052570826763726,0.5,-0.5,1.0,-0.1862684028369792,-0.20766409124819984,-0.2187380884487481
2022-12-01,0.0030778907362832425,0.0,0.0030778907362832425,0.0,-0.0008402386969822279,0.003918129433265471,0.5,-0.5,1.0,-0.18376382589225027,-0.2052253678946282,-0.2163334496485736
