date,eligible_count,rebalance,long_count,short_count,long_exposure,short_exposure,gross_exposure,net_exposure
2018-01-02,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-03,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-04,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-05,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-08,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-09,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-10,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-11,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-12,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-16,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-17,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-18,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-19,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-22,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-23,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-24,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-25,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-26,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-29,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-30,0,False,0,0,0.0,0.0,0.0,0.0
2018-01-31,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-01,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-02,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-05,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-06,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-07,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-08,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-09,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-12,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-13,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-14,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-15,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-16,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-20,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-21,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-22,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-23,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-26,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-27,0,False,0,0,0.0,0.0,0.0,0.0
2018-02-28,0,False,0,0,0.0,0.0,0.0,0.0
2018-03-01,170,True,34,34,0.49999999999999994,-0.5,1.0,6.938893903907228e-18
2018-03-02,171,False,34,34,0.49999999999999994,-0.5,1.0,6.938893903907228e-18
2018-03-05,171,False,34,34,0.49999999999999994,-0.5,1.0,6.938893903907228e-18
2018-03-06,173,False,34,34,0.49999999999999994,-0.5,1.0,6.938893903907228e-18
2018-03-07,172,False,34,34,0.49999999999999994,-0.5,1.0,6.938893903907228e-18
2018-03-08,169,False,34,34,0.49999999999999994,-0.5,1.0,6.938893903907228e-18
2018-03-09,167,False,34,34,0.49999999999999994,-0.5,1.0,6.938893903907228e-18
2018-03-12,167,False,34,34,0.49999999999999994,-0.5,1.0,6.938893903907228e-18
2018-03-13,166,False,34,34,0.49999999999999994,-0.5,1.0,6.938893903907228e-18
2018-03-14,166,False,34,34,0.49999999999999994,-0.5,1.0,6.938893903907228e-18
2018-03-15,166,False,34,34,0.49999999999999994,-0.5,1.0,6.938893903907228e-18
