date,ticker,score,rank,decile,target_weight,lagged_beta,lagged_adv,execution_return_available
2018-03-01,AXON,-0.1902763984085486,0.0058823529411764705,1,-0.014705882352941176,,30485245.406312943,True
2018-03-01,LNTH,-0.14875206998653803,0.011764705882352941,1,-0.014705882352941176,,7506029.269232752,True
2018-03-01,OMCL,-0.09636775636353993,0.01764705882352941,1,-0.014705882352941176,,19287025.753860474,True
2018-03-01,DB,-0.07585435657223281,0.023529411764705882,1,-0.014705882352941176,,96593622.71109104,True
2018-03-01,DECK,-0.07575790030394336,0.029411764705882353,1,-0.014705882352941176,,102117009.01983261,True
2018-03-01,RUSHA,-0.07088630894644997,0.03529411764705882,1,-0.014705882352941176,,19017206.215138435,True
2018-03-01,ITGR,-0.06549806857130688,0.041176470588235294,1,-0.014705882352941176,,9626282.685394285,True
2018-03-01,APAM,-0.06305978471702446,0.047058823529411764,1,-0.014705882352941176,,23747622.37903595,True
2018-03-01,RGEN,-0.056916647608143675,0.052941176470588235,1,-0.014705882352941176,,10268895.004787445,True
2018-03-01,CRK,-0.05339278273536684,0.058823529411764705,1,-0.014705882352941176,,5486504.599690437,True
2018-03-01,BRK.B,-0.05339254048490437,0.06470588235294118,1,-0.014705882352941176,,1199229915.0462341,True
2018-03-01,KKR,-0.05230228200713507,0.07058823529411765,1,-0.014705882352941176,,87901129.64231491,True
2018-03-01,SWKS,-0.051286765183067864,0.07647058823529412,1,-0.014705882352941176,,324049453.52523804,True
2018-03-01,LXRX,-0.05073243496458998,0.08235294117647059,1,-0.014705882352941176,,6835377.656378746,True
2018-03-01,WIX,-0.04995539523905061,0.08823529411764706,1,-0.014705882352941176,,60796109.3803978,True
2018-03-01,UCTT,-0.04931006316696536,0.09411764705882353,1,-0.014705882352941176,,37123737.14749336,True
2018-03-01,BRK.A,-0.04733094251155427,0.1,1,-0.014705882352941176,,155567025.0,True
2018-03-01,M,-0.04699557634584813,0.10588235294117647,2,-0.014705882352941176,,311100408.0568695,True
2018-03-01,INVA,-0.04465027175126195,0.11176470588235295,2,-0.014705882352941176,,21182291.676888466,True
2018-03-01,PRG,-0.04450114920738289,0.11764705882352941,2,-0.014705882352941176,,43048476.55706854,True
2018-03-01,MMM,-0.04446763242717737,0.12352941176470589,2,-0.014705882352941176,,723389673.465087,True
2018-03-01,CMCSA,-0.04407662912925815,0.12941176470588237,2,-0.014705882352941176,,1203339229.3380141,True
2018-03-01,MKSI,-0.043608623842163026,0.13529411764705881,2,-0.014705882352941176,,72943657.67803192,True
2018-03-01,KYNB,-0.04166819859144643,0.1411764705882353,2,-0.014705882352941176,,34578587.25,True
2018-03-01,JBTM,-0.04101861962984186,0.14705882352941177,2,-0.014705882352941176,,17974799.122505188,True
2018-03-01,TSCO,-0.040903314453107374,0.15294117647058825,2,-0.014705882352941176,,167935005.73625565,True
2018-03-01,MOG.A,-0.04054518403042043,0.1588235294117647,2,-0.014705882352941176,,12960173.97529602,True
2018-03-01,ANIK,-0.04038355174297245,0.16470588235294117,2,-0.014705882352941176,,6793255.956554413,True
2018-03-01,SCI,-0.03982673235246133,0.17058823529411765,2,-0.014705882352941176,,62734601.41294479,True
2018-03-01,ALRM,-0.03922341492676222,0.17647058823529413,2,-0.014705882352941176,,19109767.886981964,True
2018-03-01,UA,-0.03901239728367967,0.18235294117647058,2,-0.014705882352941176,,77500222.51940346,True
2018-03-01,NVRI,-0.03814859070234869,0.18823529411764706,2,-0.014705882352941176,,9089856.438093185,True
2018-03-01,CNR,-0.037864249603535946,0.19411764705882353,2,-0.014705882352941176,,11196177.98007965,True
2018-03-01,CDE,-0.0375105584956071,0.2,2,-0.014705882352941176,,29466991.32987976,True
2018-03-01,CLDT,-0.03708734305532071,0.20588235294117646,3,0.0,,7866822.64541626,True
2018-03-01,MOS,-0.03694425349657592,0.21176470588235294,3,0.0,,149146450.70378304,True
2018-03-01,RTX,-0.0365953219131962,0.21764705882352942,3,0.0,,860976298.7672031,True
2018-03-01,ILMN,-0.03643736246667886,0.2235294117647059,3,0.0,,221367557.6956253,True
2018-03-01,ARCB,-0.03617321837500394,0.22941176470588234,3,0.0,,12933842.499198914,True
2018-03-01,WEX,-0.03598870198947157,0.23529411764705882,3,0.0,,70542611.15524292,True
2018-03-01,WLK,-0.03588974296151728,0.2411764705882353,3,0.0,,93475666.99642181,True
2018-03-01,GEO,-0.0353817358870501,0.24705882352941178,3,0.0,,26389895.95683098,True
2018-03-01,SNBR,-0.0352227388350035,0.2529411764705882,3,0.0,,32395277.66101837,True
2018-03-01,TKR,-0.03488023678741091,0.25882352941176473,3,0.0,,49518837.520160675,True
2018-03-01,POOL,-0.03394285046516497,0.2647058823529412,3,0.0,,37139836.54632568,True
2018-03-01,ALSN,-0.033779434638842094,0.27058823529411763,3,0.0,,75562713.10026169,True
2018-03-01,EMN,-0.03337809252452482,0.27647058823529413,3,0.0,,164018525.3673935,True
2018-03-01,PAYC,-0.03323561841549865,0.2823529411764706,3,0.0,,81777946.1032486,True
