metric,value
mean_ic,0.014284456627426742
decile_1,0.0009691509712697683
decile_2,0.000965229559779535
decile_3,0.0014036773694968239
decile_4,0.0012813821764070111
decile_5,0.001219051547310008
decile_6,0.0011624794688544517
decile_7,0.001511019531244943
decile_8,0.001720239740997462
decile_9,0.0016695259474115505
decile_10,0.0010278664143484393
