strategy_id,prior_status,net_cumulative_return,net_sharpe,max_drawdown,annualized_turnover,cost_drag,maximum_correlation,average_abs_correlation_with_retained,marginal_sharpe_vs_current_active,marginal_return_vs_current_active,recommendation
C2A2_004,REPAIR,0.3821777883362816,0.3899788092204704,-0.17473415819953142,149.1193534999312,0.6272480742457422,0.5413063132385431,0.1366550960863796,,,REPAIR
C2A2_020,REPAIR,0.09832877256183759,0.14967957785027372,-0.33499372444783826,15.615560900973962,0.06568450220250951,0.7621673623363336,0.2872506897474762,,,REPAIR
C3A1_001,ACTIVE,0.4423780597362923,0.4378647028677307,-0.20135546603455146,5.506807216522067,0.02316355416473568,0.7806948274873068,0.5769714679828957,0.025452917456105728,0.02332919255692567,ACTIVE
C3A1_002,ACTIVE,0.33546524751019935,0.3448151553761016,-0.2486680540332563,6.623177868266459,0.02785939896969225,0.9054974149961927,0.6646666549561792,-0.009373889992935314,0.0005939121797635671,ACTIVE
C3A1_003,ACTIVE,0.2401417685413445,0.2712476906206344,-0.22195264911345303,9.141541584691618,0.03845251618957585,0.8223810040325338,0.6562875235588514,-0.027996538651935743,-0.01928291857230513,ACTIVE
C3A1_004,ARCHIVED,0.15996344982428035,0.21877966260364937,-0.20066196925995927,6.868393409547384,0.028890861167143754,0.9054974149961926,0.7118978730197707,,,ARCHIVED
C3A1_005,REPAIR,0.2552062710495242,0.2913867745222674,-0.1878224556099405,8.668794491537355,0.03646397682948253,0.960895372178715,0.690354663430636,,,REPAIR
C3A1_006,REPAIR,0.13429266636791293,0.17687912030839656,-0.4038642050877632,8.095440316610496,0.03405224895082193,0.7621673623363336,0.5282496847492851,,,REPAIR
C3A1_012,REPAIR,0.09155382864306683,0.15660646886744525,-0.2763651518952015,9.348771536689721,0.03932419773369486,0.7313296447572822,0.1865961269713653,,,REPAIR
C3A1_013,ACTIVE,0.2854020429228361,0.3584129367082395,-0.2795688927854765,4.317003699461508,0.018158825085036502,0.7618674841010898,0.1941564799750691,0.041915341000411,0.0018393380037227125,ACTIVE
C3A1_015,ACTIVE,0.25287910785450807,0.2902688371819124,-0.17313686886714807,8.65037092281925,0.03638648086582699,0.960895372178715,0.6289768569029259,-0.017190452447472193,-0.016111887473166275,ACTIVE
C3A2_008,ACTIVE,0.4137060616077275,0.3984067307291402,-0.223543436938333,7.3595332057370255,0.030956766659052573,0.8649238894092643,0.6828555535931049,0.0021241337186947984,0.01537592354595696,ACTIVE
C3A2_009,REPAIR,0.05061565522390565,0.11805394111641894,-0.24013275376230436,4.337793911759147,0.0182462759780345,0.6717128871460297,0.29057645482791966,,,REPAIR
