strategy_id,regime,observations,net_cumulative_return,net_sharpe
EARNINGS_QUALITY,GROWTH_DOWN_INFLATION_DOWN,271,0.017977272686213963,0.24561317645297823
EARNINGS_QUALITY,GROWTH_DOWN_INFLATION_UP,265,0.08204275910376979,1.203205367071292
EARNINGS_QUALITY,GROWTH_UP_INFLATION_DOWN,579,0.04491560958423646,0.3265406210523624
EARNINGS_QUALITY,GROWTH_UP_INFLATION_UP,1004,0.14679812009266002,0.5356288583142974
PROFITABLE_SMALL_CAP,GROWTH_DOWN_INFLATION_DOWN,271,0.10975339453726041,1.090711352503798
PROFITABLE_SMALL_CAP,GROWTH_DOWN_INFLATION_UP,265,-0.013403933589294925,-0.0858131609053889
PROFITABLE_SMALL_CAP,GROWTH_UP_INFLATION_DOWN,579,0.049247561939162354,0.35398239184663965
PROFITABLE_SMALL_CAP,GROWTH_UP_INFLATION_UP,1004,0.12159001470065567,0.4344244190121114
MARGIN_IMPROVEMENT,GROWTH_DOWN_INFLATION_DOWN,271,0.11158510727327209,1.1946467983801181
MARGIN_IMPROVEMENT,GROWTH_DOWN_INFLATION_UP,265,0.04587627564498309,0.5854907996314395
MARGIN_IMPROVEMENT,GROWTH_UP_INFLATION_DOWN,579,-0.08886352180891954,-0.5468771198929039
MARGIN_IMPROVEMENT,GROWTH_UP_INFLATION_UP,1004,0.2799941341405674,0.9341217897543087
REVENUE_ACCELERATION,GROWTH_DOWN_INFLATION_DOWN,271,-0.13190120698502195,-1.755065514758336
REVENUE_ACCELERATION,GROWTH_DOWN_INFLATION_UP,265,0.027967885724740738,0.4680963634134492
REVENUE_ACCELERATION,GROWTH_UP_INFLATION_DOWN,579,0.15801102805920664,1.0764321946728332
REVENUE_ACCELERATION,GROWTH_UP_INFLATION_UP,1004,0.09626561627031216,0.40643318501339193
CASH_FLOW_MOMENTUM,GROWTH_DOWN_INFLATION_DOWN,271,-0.0496428563926995,-0.5407010568779138
CASH_FLOW_MOMENTUM,GROWTH_DOWN_INFLATION_UP,265,0.01462788410302407,0.20935397710931475
CASH_FLOW_MOMENTUM,GROWTH_UP_INFLATION_DOWN,579,0.026635882325536153,0.21048732037831175
CASH_FLOW_MOMENTUM,GROWTH_UP_INFLATION_UP,1004,0.18708052243788353,0.6871751781703755
LOW_LEVERAGE_QUALITY,GROWTH_DOWN_INFLATION_DOWN,271,0.2488859839883919,1.611741789103859
LOW_LEVERAGE_QUALITY,GROWTH_DOWN_INFLATION_UP,265,0.06671783874151127,0.6053838046341514
LOW_LEVERAGE_QUALITY,GROWTH_UP_INFLATION_DOWN,579,-0.059055346721446744,-0.184796096111389
LOW_LEVERAGE_QUALITY,GROWTH_UP_INFLATION_UP,1004,0.02622117811605551,0.11400568916960341
QUALITY_AT_REASONABLE_PRICE,GROWTH_DOWN_INFLATION_DOWN,271,0.02295121471018513,0.2968568971756356
QUALITY_AT_REASONABLE_PRICE,GROWTH_DOWN_INFLATION_UP,265,0.028178021051986413,0.35023118132896025
QUALITY_AT_REASONABLE_PRICE,GROWTH_UP_INFLATION_DOWN,579,0.001928513643977059,0.046976054287083784
QUALITY_AT_REASONABLE_PRICE,GROWTH_UP_INFLATION_UP,1004,0.019962320963116564,0.10334871909408376
