strategy_id,ticker,provider_symbol,normalization_status,renamed_symbol,entry_eligible,operational_pricing_required,pricing_status,security_status,latest_price_date,exclusion_reason,affects
C3A1_002,DV,DV,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_002,EQH,EQH,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_002,HL,HL,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_002,HTZ,HTZ,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_002,JBIO,JBIO,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_002,KKR,KKR,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_002,LW,LW,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_002,MKSI,MKSI,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_002,MZTI,MZTI,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
C3A1_002,PATH,PATH,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
