date,open_to_open_interval,beginning_nav,gross_pnl,transaction_cost,net_pnl,daily_return,ending_nav,cumulative_pnl,cumulative_return,running_peak,current_drawdown,gross_exposure,net_exposure,long_exposure,short_exposure,cash,active_count,equal_strategy_weight,data_as_of,run_id,data_quality_status,record_label,signal_date,return_end_date
2026-06-04,2026-06-04_OPEN_TO_NEXT_OPEN,1000000.0,2621.875,0.0,2621.875,0.002621875,1002621.875,2621.875,0.0026218749999999,1002621.875,0.0,1.0,0.0,0.5,-0.5,0.0,16,0.0625,2026-06-08,7d885ae0fcac7679,COMPLETE,RETROSPECTIVE_PAPER_BACKFILL,,
2026-06-05,2026-06-05_OPEN_TO_NEXT_OPEN,1002621.875,-1195.06594525,0.0,-1195.06594525,-0.0011919408253984,1001426.80905475,1426.80905475,0.00142680905475,1002621.875,-0.0011919408253984,1.0,0.0,0.5,-0.5,0.0,16,0.0625,2026-06-08,7d885ae0fcac7679,COMPLETE,RETROSPECTIVE_PAPER_BACKFILL,,
2026-06-08,2026-06-08_OPEN_TO_NEXT_OPEN,1001426.80905475,2560.7581964087085,0.0,2560.7581964087085,0.0025571096891502,1003987.5672511588,3987.567251158708,0.0039875672511586,1003987.5672511588,0.0,1.0,0.0,0.5,-0.5,0.0,16,0.0625,2026-06-08,7d885ae0fcac7679,COMPLETE,RETROSPECTIVE_PAPER_BACKFILL,,
2026-06-10,2026-06-10_OPEN_TO_2026-06-11_OPEN,1003987.5672511588,1095.5704621245332,451.34853873760096,644.2219233869322,0.0006416632480328044,1004631.7891745457,4631.789174545673,0.004631789174545764,,,1.0,0.0,0.5,-0.5,0.0,16,0.0625,2026-06-12,f802154620f88fa1,COMPLETE,FORWARD_SHADOW_LIVE,2026-06-09,2026-06-11
2026-06-11,2026-06-11_OPEN_TO_2026-06-12_OPEN,1004631.7891745457,-4218.673593752056,0.0,-4218.673593752056,-0.004199223674992729,1000413.1155807936,413.11558079358656,0.00041311558079359934,,,1.0,0.0,0.5,-0.5,0.0,16,0.0625,2026-06-12,f802154620f88fa1,COMPLETE,FORWARD_SHADOW_LIVE,2026-06-10,2026-06-12
