ticker,provider_symbol,normalization_status,renamed_symbol,entry_eligible,operational_pricing_required,pricing_status,security_status,latest_price_date,exclusion_reason,affects
BBY,BBY,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
BDC,BDC,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
BE,BE,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
BELFB,BELFB,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
BIOA,BIOA,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
BKNG,BKNG,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
BLK,BLK,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
BLSH,BLSH,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
BMO,BMO,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
BNY,BNY,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
BOW,BOW,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
BRBR,BRBR,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
BRK.A,BRK-A,dot_to_dash,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
BRK.B,BRK-B,dot_to_dash,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
BRO,BRO,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
BROS,BROS,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
BUSE,BUSE,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
