strategy_id,signal_date,rebalance_date,execution_date,ticker,action,previous_weight,target_weight,delta_weight,simulated_execution_price,turnover_contribution,estimated_transaction_cost,execution_convention,run_id,record_status
FUNDAMENTAL_MOMENTUM,2018-01-31,2018-01-31,2018-01-31,LLY,BUY,0.0,0.05,0.05,86.5,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-01-31,2018-01-31,2018-01-31,LMT,BUY,0.0,0.05,0.05,353.2799987792969,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-01-31,2018-01-31,2018-01-31,MCD,BUY,0.0,0.05,0.05,173.60000610351562,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-01-31,2018-01-31,2018-01-31,META,BUY,0.0,0.05,0.05,188.3699951171875,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-01-31,2018-01-31,2018-01-31,MRK,SELL,0.0,-0.05,-0.05,57.98664093017578,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-01-31,2018-01-31,2018-01-31,PFE,SELL,0.0,-0.05,-0.05,35.977230072021484,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-01-31,2018-01-31,2018-01-31,V,BUY,0.0,0.05,0.05,123.77999877929688,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-01-31,2018-01-31,2018-01-31,WMT,BUY,0.0,0.05,0.05,35.92333221435547,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-01-31,2018-01-31,2018-01-31,XOM,SELL,0.0,-0.05,-0.05,86.55999755859375,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,AAPL,SELL,0.0,-0.05,-0.05,44.6349983215332,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,AMZN,SELL,0.05,0.0,-0.05,75.68000030517578,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,CAT,BUY,0.0,0.05,0.05,153.6699981689453,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,CMCSA,BUY,0.0,0.05,0.05,34.15182876586914,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,COP,COVER,-0.05,0.0,0.05,54.5,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,CSCO,BUY,0.0,0.05,0.05,44.68000030517578,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,CVX,COVER,-0.05,0.0,0.05,111.52999877929688,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,GM,BUY,0.0,0.05,0.05,39.59000015258789,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,GOOGL,SELL,0.05,-0.05,-0.1,55.47700119018555,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,GOOGL,SHORT,0.05,-0.05,-0.1,55.47700119018555,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,HON,SELL,0.05,0.0,-0.05,136.70323181152344,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,INTC,COVER,-0.05,0.0,0.05,49.5,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,MCD,SELL,0.05,0.0,-0.05,157.8000030517578,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,MMM,SELL,0.0,-0.05,-0.05,197.4498291015625,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,ORCL,SELL,0.0,-0.05,-0.05,50.959999084472656,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-01,2018-03-01,2018-03-01,XOM,COVER,-0.05,0.0,0.05,75.52999877929688,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-29,2018-03-29,2018-03-29,AAPL,COVER,-0.05,0.0,0.05,41.95249938964844,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
FUNDAMENTAL_MOMENTUM,2018-03-29,2018-03-29,2018-03-29,AXP,SELL,0.0,-0.05,-0.05,92.38999938964844,0.05,2.5e-05,NEXT_OPEN_TO_OPEN,FUNDAMENTAL_STRATEGY_EXPANSION_V1_2026-06-09,SIMULATED | RESEARCH ONLY | NO LIVE FILL
