date,gross_return,transaction_cost,net_return,turnover,long_contribution,short_contribution,long_exposure,short_exposure,gross_exposure,cumulative_gross,cumulative_net,drawdown
2020-05-15,0.0063539376351441955,0.00019117647058823528,0.00616276116455596,0.38235294117647056,0.007300743580226236,-0.0009468059450820403,0.4999999999999999,-0.4999999999999999,0.9999999999999999,0.06891531151586139,-0.029962862233944954,-0.07385051688154032
2020-05-18,-0.007425374844032694,0.0002794117647058823,-0.007704786608738576,0.5588235294117646,0.007944167345228348,-0.01536954218926104,0.49999999999999994,-0.4999999999999999,0.9999999999999998,0.06097821465133002,-0.03743679138298395,-0.08098630101676163
2020-05-19,0.0034564508629176863,0.00031428571428571427,0.003142165148631972,0.6285714285714286,-0.002558680259552829,0.006015131122470515,0.49999999999999994,-0.5,1.0,0.06464543371689868,-0.03441225881551213,-0.07809860820070114
2020-05-20,0.004458865686478836,0.00031428571428571427,0.004144579972193122,0.6285714285714286,0.0031218037297719888,0.0013370619567068462,0.4999999999999999,-0.49999999999999994,0.9999999999999999,0.06939254470956535,-0.030410303202003774,-0.07427771415591278
2020-05-21,-0.004065295135510547,0.00032352941176470585,-0.004388824547275253,0.6470588235294117,-0.00170821367753484,-0.0023570814579757073,0.5,-0.5,0.9999999999999998,0.06504514839960618,-0.034665662264096064,-0.07834054684798519
2020-05-22,-0.0023637189854891247,0.0002794117647058823,-0.002643130750195007,0.5588235294117646,-0.002553447406277263,0.00018972842078813812,0.49999999999999994,-0.4999999999999999,0.9999999999999999,0.06252768096193084,-0.0372171671363849,-0.08077661328981911
2020-05-26,-0.006252418232453814,0.00022058823529411765,-0.006473006467747931,0.4411764705882353,-0.003716175074383471,-0.002536243158070343,0.49999999999999994,-0.49999999999999994,0.9999999999999998,0.05588431351699752,-0.04344926664054782,-0.08672675221729931
2020-05-27,0.0007280447257763701,0.00020588235294117645,0.0005221623728351936,0.41176470588235287,0.0035222883681576326,-0.002794243642381263,0.49999999999999994,-0.4999999999999999,0.9999999999999999,0.056653044522483764,-0.04294979183987968,-0.08624987529119033
2020-05-28,0.013693625470179709,0.0001764705882352941,0.013517154881944415,0.3529411764705882,-0.004206380909688535,0.017900006379868244,0.4999999999999999,-0.49999999999999994,1.0,0.07112245556609964,-0.030013195946382187,-0.07389857333210526
2020-05-29,0.005002436933730555,0.00027142857142857144,0.004731008362301984,0.5428571428571429,0.004547157110493338,0.00045527982323721717,0.5,-0.49999999999999994,1.0,0.07648067809837156,-0.025424180265081975,-0.06951717973819971
